Company Name,Total Worldwide Box Office
Warner Bros.,"$55,585,853,097"
Universal Pictures,"$52,145,606,696"
Columbia Pictures,"$49,641,340,446"
Paramount Pictures,"$39,531,794,030"
Walt Disney Pictures,"$43,649,848,219"
Marvel Studios,"$44,314,871,020"
20th Century Fox,"$27,219,270,396"
New Line Cinema,"$18,158,178,667"
Relativity Media,"$15,370,606,774"
Legendary Pictures,"$18,438,226,172"
Disney-Pixar,"$17,104,423,642"
DreamWorks Pictures,"$13,515,725,942"
Amblin Entertainment,"$16,115,406,362"
DreamWorks Animation,"$17,522,146,279"
Dune Entertainment,"$16,778,064,507"
Metro-Goldwyn-Mayer Pictures,"$15,117,408,438"
Village Roadshow Productions,"$14,992,894,184"
Regency Enterprises,"$13,188,625,550"
Lionsgate,"$11,347,186,174"
Lucasfilm,"$12,030,231,527"
Walt Disney Animation Studios,"$11,815,867,322"
Touchstone Pictures,"$8,457,631,722"
Heyday Films,"$13,483,358,750"
Illumination Entertainment,"$10,696,517,830"
RatPac Entertainment,"$9,972,581,452"
TSG Entertainment,"$10,323,844,717"
Summit Entertainment,"$8,536,353,817"
Blumhouse,"$6,157,697,315"
Skydance Productions,"$8,699,756,007"
Original Film,"$9,387,384,515"
Jerry Bruckheimer,"$7,377,901,227"
Bad Robot,"$7,124,756,698"
Twentieth Century Fox,"$7,045,164,350"
di Bonaventura Pictures,"$8,183,474,967"
Perfect World Pictures,"$7,449,754,266"
DC Films,"$7,430,688,134"
Imagine Entertainment,"$5,654,696,862"
The Kennedy/Marshall Company,"$6,836,119,237"
Fox 2000 Pictures,"$5,916,375,067"
Silver Pictures,"$5,743,745,709"
Working Title Films,"$8,024,428,409"
Tri-Star Pictures,"$4,737,734,432"
1492 Pictures,"$6,133,019,978"
Wingnut Films,"$7,211,571,051"
Happy Madison,"$3,907,566,279"
Syncopy,"$6,081,559,827"
Spyglass Entertainment,"$4,394,359,158"
Temple Hill Entertainment,"$5,394,003,160"
Pascal Pictures,"$5,367,710,864"
